"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:1" "P01" 3069044 "Run1" 1 "25%" "0" 0 21 0 1 0.0152678
"1:2" "P01" 3101316 "Run1" 2 "75%" "1" 1 0 0 1 0.0440964
"1:3" "P01" 3130716 "Run1" 3 "25%" "0" 0 12 0 1 0.013495
"1:4" "P01" 3157844 "Run1" 4 "25%" "0" 0 19 0 1 0.0127547
"1:5" "P01" 3186244 "Run1" 5 "75%" "0" 0 54 0 1 0.0122096
"1:6" "P01" 3214116 "Run1" 6 "50%" "0" 0 15 0 1 0.0127559
"1:7" "P01" 3242412 "Run1" 7 "50%" "3" 1 0 72 1 0.0486129
"1:8" "P01" 3271484 "Run1" 8 "0%" "0" 0 72 0 1 0.0138029
"1:9" "P01" 3297900 "Run1" 9 "0%" "0" 0 45 0 1 0.0135574
"1:10" "P01" 3330196 "Run1" 10 "100%" "2" 1 0 41 1 0.0456528
"1:11" "P01" 3356724 "Run1" 11 "50%" "0" 0 62 0 1 0.0118669
"1:12" "P01" 3383700 "Run1" 12 "100%" "1" 1 0 0 1 0.0484615
"1:13" "P01" 3412492 "Run1" 13 "0%" "0" 0 40 0 1 0.0124193
"1:14" "P01" 3440420 "Run1" 14 "50%" "0" 0 82 0 1 0.0130281
"1:15" "P01" 3466396 "Run1" 15 "75%" "0" 0 87 0 1 0.013329
"1:16" "P01" 3492340 "Run1" 16 "100%" "3" 1 0 81 1 0.0495249
"1:17" "P01" 3515564 "Run1" 17 "75%" "0" 0 55 0 1 0.011998
"1:18" "P01" 3540380 "Run1" 18 "25%" "2" 1 0 75 1 0.0457688
"1:19" "P01" 3639844 "Run2" 1 "75%" "2" 1 0 63 1 0.0600645
"1:20" "P01" 3665460 "Run2" 2 "25%" "0" 0 86 0 1 0.0135698
"1:21" "P01" 3686956 "Run2" 3 "25%" "0" 0 56 0 1 0.012261
"1:22" "P01" 3710036 "Run2" 4 "50%" "0" 0 56 0 1 0.0123041
"1:23" "P01" 3735388 "Run2" 5 "50%" "0" 0 81 0 1 0.0145184
"1:24" "P01" 3761108 "Run2" 6 "0%" "0" 0 90 0 1 0.0106425
"1:25" "P01" 3785140 "Run2" 7 "50%" "1" 1 0 19 1 0.0479645
"1:26" "P01" 3812516 "Run2" 8 "0%" "0" 0 84 0 1 0.0130209
"1:27" "P01" 3837764 "Run2" 9 "75%" "0" 0 88 0 1 0.0142901
"1:28" "P01" 3860892 "Run2" 10 "0%" "0" 0 86 0 1 0.00989674
"1:29" "P01" 3883100 "Run2" 11 "100%" "2" 1 0 64 1 0.0596509
"1:30" "P01" 3912316 "Run2" 12 "75%" "0" 0 97 0 1 0.0124713
"1:31" "P01" 3935708 "Run2" 13 "75%" "0" 0 24 0 1 0.0118289
"1:32" "P01" 3961860 "Run2" 14 "50%" "0" 0 89 0 1 0.0115607
"1:33" "P01" 3987788 "Run2" 15 "25%" "3" 1 0 99 1 0.0549876
"1:34" "P01" 4013180 "Run2" 16 "25%" "0" 0 90 0 1 0.0118405
"1:35" "P01" 4037308 "Run2" 17 "100%" "1" 1 0 10 1 0.0473773
"1:36" "P01" 4062852 "Run2" 18 "100%" "3" 1 0 81 1 0.0719604
"1:37" "P01" 4161428 "Run3" 1 "25%" "0" 0 89 0 1 0.0119087
"1:38" "P01" 4185748 "Run3" 2 "0%" "0" 0 91 0 1 0.0146431
"1:39" "P01" 4214211 "Run3" 3 "75%" "0" 0 98 0 1 0.0143056
"1:40" "P01" 4239331 "Run3" 4 "50%" "2" 1 0 82 1 0.0516895
"1:41" "P01" 4263987 "Run3" 5 "75%" "0" 0 32 0 1 0.0124821
"1:42" "P01" 4291779 "Run3" 6 "100%" "2" 1 0 49 1 0.0450245
"1:43" "P01" 4315267 "Run3" 7 "50%" "0" 0 31 0 1 0.0138052
"1:44" "P01" 4341811 "Run3" 8 "25%" "0" 0 90 0 1 0.0142709
"1:45" "P01" 4365075 "Run3" 9 "25%" "1" 1 0 6 1 0.0513353
"1:46" "P01" 4388675 "Run3" 10 "0%" "0" 0 17 0 1 0.0133365
"1:47" "P01" 4411947 "Run3" 11 "0%" "0" 0 33 0 1 0.0127998
"1:48" "P01" 4434827 "Run3" 12 "25%" "0" 0 13 0 1 0.0146668
"1:49" "P01" 4458147 "Run3" 13 "75%" "0" 0 80 0 1 0.0134451
"1:50" "P01" 4484163 "Run3" 14 "50%" "0" 0 97 0 1 0.015424
"1:51" "P01" 4509475 "Run3" 15 "50%" "0" 0 88 0 1 0.016532
"1:52" "P01" 4535355 "Run3" 16 "100%" "1" 1 0 3 1 0.0438049
"1:53" "P01" 4559075 "Run3" 17 "75%" "3" 1 0 82 1 0.0470604
"1:54" "P01" 4584059 "Run3" 18 "100%" "3" 1 0 83 1 0.087949
"1:55" "P04" 2275682 "Run1" 1 "100%" "1" 1 0 0 1 0.26122
"1:56" "P04" 2304050 "Run1" 2 "0%" "0" 0 19 0 1 0.201397
"1:57" "P04" 2330226 "Run1" 3 "50%" "0" 0 18 0 1 0.229701
"1:58" "P04" 2355994 "Run1" 4 "0%" "0" 0 4 0 1 0.224693
"1:59" "P04" 2381130 "Run1" 5 "50%" "3" 1 0 25 1 0.282309
"1:60" "P04" 2407082 "Run1" 6 "75%" "0" 0 17 0 1 0.25171
"1:61" "P04" 2433010 "Run1" 7 "75%" "0" 0 24 0 1 0.226219
"1:62" "P04" 2457106 "Run1" 8 "100%" "2" 1 0 11 1 0.31041
"1:63" "P04" 2484482 "Run1" 9 "75%" "0" 0 0 0 1 0.218477
"1:64" "P04" 2508530 "Run1" 10 "25%" "0" 0 13 0 1 0.209664
"1:65" "P04" 2534226 "Run1" 11 "50%" "0" 0 0 0 1 0.24152
"1:66" "P04" 2561546 "Run1" 12 "50%" "0" 0 16 0 1 0.237388
"1:67" "P04" 2585746 "Run1" 13 "25%" "0" 0 0 0 1 0.244956
"1:68" "P04" 2611978 "Run1" 14 "25%" "0" 0 4 0 1 0.209245
"1:69" "P04" 2636482 "Run1" 15 "100%" "3" 1 0 22 1 0.273295
"1:70" "P04" 2662490 "Run1" 16 "25%" "2" 1 0 15 1 0.341106
"1:71" "P04" 2686922 "Run1" 17 "0%" "0" 0 0 0 1 0.21246
"1:72" "P04" 2713121 "Run1" 18 "75%" "1" 1 0 7 1 0.264213
"1:73" "P04" 2812937 "Run2" 1 "50%" "0" 0 22 0 1 0.267332
"1:74" "P04" 2837553 "Run2" 2 "100%" "3" 1 0 22 1 0.379709
"1:75" "P04" 2865129 "Run2" 3 "75%" "0" 0 6 0 1 0.247895
"1:76" "P04" 2890265 "Run2" 4 "100%" "1" 1 0 8 1 0.302984
"1:77" "P04" 2914745 "Run2" 5 "100%" "2" 1 0 14 1 0.303737
"1:78" "P04" 2941561 "Run2" 6 "25%" "0" 0 5 0 1 0.240873
"1:79" "P04" 2966617 "Run2" 7 "0%" "0" 0 0 0 1 0.236368
"1:80" "P04" 2992793 "Run2" 8 "0%" "0" 0 0 0 1 0.225039
"1:81" "P04" 3015809 "Run2" 9 "25%" "3" 1 0 19 1 0.313725
"1:82" "P04" 3042001 "Run2" 10 "75%" "0" 0 18 0 1 0.232164
"1:83" "P04" 3067665 "Run2" 11 "50%" "0" 0 18 0 1 0.224634
"1:84" "P04" 3092041 "Run2" 12 "25%" "0" 0 18 0 1 0.229795
"1:85" "P04" 3118681 "Run2" 13 "50%" "1" 1 0 7 1 0.283609
"1:86" "P04" 3147081 "Run2" 14 "25%" "0" 0 2 0 1 0.201463
"1:87" "P04" 3172049 "Run2" 15 "75%" "0" 0 19 0 1 0.229042
"1:88" "P04" 3197657 "Run2" 16 "50%" "0" 0 4 0 1 0.273944
"1:89" "P04" 3221953 "Run2" 17 "0%" "0" 0 0 0 1 0.237956
"1:90" "P04" 3247369 "Run2" 18 "75%" "2" 1 0 10 1 0.326903
"1:91" "P04" 3346817 "Run3" 1 "0%" "0" 0 0 0 1 0.226493
"1:92" "P04" 3371601 "Run3" 2 "100%" "2" 1 0 13 1 0.342748
"1:93" "P04" 3395049 "Run3" 3 "50%" "0" 0 24 0 1 0.223102
"1:94" "P04" 3422553 "Run3" 4 "25%" "0" 0 9 0 1 0.222294
"1:95" "P04" 3447978 "Run3" 5 "0%" "0" 0 6 0 1 0.246001
"1:96" "P04" 3473873 "Run3" 6 "50%" "0" 0 8 0 1 0.22244
"1:97" "P04" 3499457 "Run3" 7 "25%" "0" 0 16 0 1 0.238094
"1:98" "P04" 3525209 "Run3" 8 "25%" "1" 1 0 5 1 0.324988
"1:99" "P04" 3549641 "Run3" 9 "100%" "1" 1 0 3 1 0.239701
"1:100" "P04" 3576481 "Run3" 10 "50%" "2" 1 0 10 1 0.294837
"1:101" "P04" 3601081 "Run3" 11 "50%" "0" 0 17 0 1 0.247048
"1:102" "P04" 3627497 "Run3" 12 "75%" "0" 0 17 0 1 0.240335
"1:103" "P04" 3652513 "Run3" 13 "25%" "0" 0 4 0 1 0.237269
"1:104" "P04" 3679737 "Run3" 14 "75%" "0" 0 4 0 1 0.256415
"1:105" "P04" 3703897 "Run3" 15 "75%" "0" 0 15 0 1 0.244973
"1:106" "P04" 3726473 "Run3" 16 "100%" "3" 1 0 23 1 0.34557
"1:107" "P04" 3749793 "Run3" 17 "75%" "3" 1 0 22 1 0.267544
"1:108" "P04" 3776841 "Run3" 18 "0%" "0" 0 4 0 1 0.271996
"1:109" "P05" 2096473 "Run1" 1 "0%" "0" 0 64 0 1 0.00824113
"1:110" "P05" 2121889 "Run1" 2 "50%" "0" 0 70 0 1 0.00823611
